File;Header parsing;Decoding
kennedy.xls.tiiv;102732;27162590
kennedy.xls.tiiv;101135;29631290
kennedy.xls.tiiv;122939;27038109
kennedy.xls.tiiv;101714;31192325
kennedy.xls.tiiv;101505;26471366
kennedy.xls.tiiv;102360;32188066
kennedy.xls.tiiv;101255;32519005
kennedy.xls.tiiv;102571;27194916
lcet10.txt.tiiv;68389;17461242
lcet10.txt.tiiv;58275;20045741
lcet10.txt.tiiv;57527;20766122
lcet10.txt.tiiv;63291;16268519
lcet10.txt.tiiv;58042;22185219
lcet10.txt.tiiv;67318;18792400
lcet10.txt.tiiv;59303;16620736
lcet10.txt.tiiv;58096;16469670
lcet10.txt.tiiv;96669;20980147
lcet10.txt.tiiv;83735;19821324
lcet10.txt.tiiv;58409;19543459
lcet10.txt.tiiv;61612;19747803
lcet10.txt.tiiv;124400;24428951
lcet10.txt.tiiv;168740;23808179
lcet10.txt.tiiv;59292;21829203
lcet10.txt.tiiv;96070;30141185
lcet10.txt.tiiv;86524;22804131
lcet10.txt.tiiv;81145;23869341
lcet10.txt.tiiv;75620;22214614
lcet10.txt.tiiv;102704;24266520
plrabn12.txt.tiiv;65559;25662367
plrabn12.txt.tiiv;113094;25513362
plrabn12.txt.tiiv;86286;34276773
plrabn12.txt.tiiv;90167;24181645
plrabn12.txt.tiiv;75116;22900738
plrabn12.txt.tiiv;67021;21654365
plrabn12.txt.tiiv;67510;21621580
plrabn12.txt.tiiv;64080;20758685
plrabn12.txt.tiiv;75499;19233899
plrabn12.txt.tiiv;82042;28147730
plrabn12.txt.tiiv;93602;25550012
plrabn12.txt.tiiv;101785;23567012
plrabn12.txt.tiiv;63838;21509299
plrabn12.txt.tiiv;66179;29120397
plrabn12.txt.tiiv;64957;19365908
plrabn12.txt.tiiv;60499;18913310
plrabn12.txt.tiiv;61307;18733681
plrabn12.txt.tiiv;60356;23025975
plrabn12.txt.tiiv;61315;19544699
plrabn12.txt.tiiv;71426;20766764
ptt5.tiiv;73159;8926369
ptt5.tiiv;44011;9276688
ptt5.tiiv;71051;12681929
ptt5.tiiv;34935;9202613
ptt5.tiiv;38480;9978869
ptt5.tiiv;34968;8320765
ptt5.tiiv;37157;11240122
ptt5.tiiv;39423;8617675
ptt5.tiiv;34993;9709840
ptt5.tiiv;55257;15629535
ptt5.tiiv;45181;12122273
ptt5.tiiv;38845;8176483
ptt5.tiiv;34984;8118934
ptt5.tiiv;39548;8049364
ptt5.tiiv;35322;8090276
ptt5.tiiv;48401;8270814
ptt5.tiiv;34849;8879835
ptt5.tiiv;39873;11238945
ptt5.tiiv;57543;10226435
ptt5.tiiv;35257;8451652
random.txt.tiiv;21638;4836392
random.txt.tiiv;25906;4057029
random.txt.tiiv;22570;4335867
random.txt.tiiv;28596;4482396
random.txt.tiiv;30211;3683492
random.txt.tiiv;39843;4381956
random.txt.tiiv;24008;5583109
random.txt.tiiv;21814;3728638
random.txt.tiiv;44177;3977117
random.txt.tiiv;21868;3750085
random.txt.tiiv;21988;3615034
random.txt.tiiv;21904;4420708
random.txt.tiiv;33526;3979676
random.txt.tiiv;22436;3905949
random.txt.tiiv;22113;3844205
random.txt.tiiv;24720;3677531
random.txt.tiiv;22398;3664953
random.txt.tiiv;49454;5418429
random.txt.tiiv;47878;4620232
random.txt.tiiv;34639;6862726
sum.tiiv;54416;2025209
sum.tiiv;62280;1583922
sum.tiiv;44175;1674124
sum.tiiv;29318;1490611
sum.tiiv;32911;1795533
sum.tiiv;30410;2087841
sum.tiiv;32756;2186416
sum.tiiv;31848;1603546
sum.tiiv;31845;2288977
sum.tiiv;32613;1720150
sum.tiiv;55806;3475911
sum.tiiv;32776;2901378
sum.tiiv;50918;1735335
sum.tiiv;67307;1781357
sum.tiiv;31634;1574268
sum.tiiv;143179;2040885
sum.tiiv;42023;1550377
sum.tiiv;32935;1642201
sum.tiiv;32556;1944736
sum.tiiv;51334;1527722
world192.txt.tiiv;433006;108405534
world192.txt.tiiv;532969;121359798
world192.txt.tiiv;392231;123394687
world192.txt.tiiv;458845;108834679
world192.txt.tiiv;659067;112979179
world192.txt.tiiv;1051944;123703727
world192.txt.tiiv;363122;110583879
world192.txt.tiiv;875852;116621427
world192.txt.tiiv;918482;111158644
world192.txt.tiiv;484410;114586609
world192.txt.tiiv;508847;109887446
world192.txt.tiiv;544174;129119904
world192.txt.tiiv;512493;103763864
world192.txt.tiiv;447217;114793659
world192.txt.tiiv;454337;111888423
world192.txt.tiiv;461445;114067188
world192.txt.tiiv;517578;115332513
world192.txt.tiiv;454568;113503597
world192.txt.tiiv;466000;103100045
world192.txt.tiiv;464044;109351366
xargs.1.tiiv;14280;170376
xargs.1.tiiv;17448;171635
xargs.1.tiiv;14041;170332
xargs.1.tiiv;16443;179938
xargs.1.tiiv;15166;170605
xargs.1.tiiv;15388;171625
xargs.1.tiiv;15483;184039
xargs.1.tiiv;24768;308831
xargs.1.tiiv;21050;303015
xargs.1.tiiv;24994;184437
xargs.1.tiiv;15674;191471
xargs.1.tiiv;14898;170247
xargs.1.tiiv;16993;186019
xargs.1.tiiv;14250;169937
xargs.1.tiiv;19330;184212
xargs.1.tiiv;14094;170706
xargs.1.tiiv;13922;169495
xargs.1.tiiv;13841;170325
xargs.1.tiiv;14199;170009
xargs.1.tiiv;22821;182014
