File;Huffman Encoding Calculation;Encoding;Counting Characters;File size before;File size after;Distinct characters
fields.c;28690;522447;12759;11150;7153;90
fields.c;29728;573686;12519;11150;7153;90
fields.c;31672;481906;13778;11150;7153;90
fields.c;46137;814832;19979;11150;7153;90
fields.c;69227;757348;19463;11150;7153;90
fields.c;50438;781589;18728;11150;7153;90
fields.c;48493;769310;18645;11150;7153;90
fields.c;46616;753793;19939;11150;7153;90
fields.c;49477;626993;20886;11150;7153;90
fields.c;32687;641412;13804;11150;7153;90
fields.c;53464;740548;22753;11150;7153;90
fields.c;45370;753346;18434;11150;7153;90
grammar.lsp;64047;176914;7435;3721;2278;76
grammar.lsp;41673;247304;7553;3721;2278;76
grammar.lsp;26451;187585;5880;3721;2278;76
grammar.lsp;41691;238922;7785;3721;2278;76
grammar.lsp;34086;167661;5658;3721;2278;76
grammar.lsp;25937;163804;5515;3721;2278;76
grammar.lsp;290522;251799;7528;3721;2278;76
grammar.lsp;27001;165530;6210;3721;2278;76
grammar.lsp;43440;380308;7416;3721;2278;76
grammar.lsp;45105;210926;5723;3721;2278;76
grammar.lsp;26675;165312;5662;3721;2278;76
grammar.lsp;41697;240603;7927;3721;2278;76
grammar.lsp;26439;163888;5692;3721;2278;76
grammar.lsp;26095;165613;5676;3721;2278;76
grammar.lsp;41624;199303;7746;3721;2278;76
grammar.lsp;24039;152524;5341;3721;2278;76
grammar.lsp;24173;151679;5273;3721;2278;76
grammar.lsp;26351;168012;5679;3721;2278;76
grammar.lsp;24435;152750;5389;3721;2278;76
grammar.lsp;26406;170996;5683;3721;2278;76
kennedy.xls;111132;29142411;1487660;1029744;462917;256
kennedy.xls;82568;30684311;1095061;1029744;462917;256
kennedy.xls;82997;30579632;1116178;1029744;462917;256
kennedy.xls;83224;34581408;1098339;1029744;462917;256
kennedy.xls;84111;34850245;1168825;1029744;462917;256
kennedy.xls;83285;30476838;1141092;1029744;462917;256
kennedy.xls;97637;31998860;1209452;1029744;462917;256
kennedy.xls;82881;32543639;1118845;1029744;462917;256
