File;Huffman Encoding Calculation;Encoding;Counting Characters;File size before;File size after;Distinct characters
512px-Huffman_coding_visualisation.bmp;120381;6937058;1244122;589946;107404;243
640px-Huffman_coding_visualisation.bmp;139550;8238717;2175038;921722;160168;243
640px-Huffman_coding_visualisation.bmp;117707;8392950;1959511;921722;160168;243
640px-Huffman_coding_visualisation.bmp;129776;8723779;1963571;921722;160168;243
640px-Huffman_coding_visualisation.bmp;117848;8372834;1956366;921722;160168;243
640px-Huffman_coding_visualisation.bmp;123441;10222934;1960302;921722;160168;243
640px-Huffman_coding_visualisation.bmp;117935;8444791;2043070;921722;160168;243
640px-Huffman_coding_visualisation.bmp;124606;8998200;1951550;921722;160168;243
640px-Huffman_coding_visualisation.bmp;117296;10573061;1955163;921722;160168;243
640px-Huffman_coding_visualisation.bmp;126283;9472660;2023247;921722;160168;243
640px-Huffman_coding_visualisation.bmp;118053;8692762;1956129;921722;160168;243
640px-Huffman_coding_visualisation.bmp;124810;8239154;1956080;921722;160168;243
640px-Huffman_coding_visualisation.bmp;120769;10199099;2037619;921722;160168;243
640px-Huffman_coding_visualisation.bmp;125420;8378497;2010888;921722;160168;243
640px-Huffman_coding_visualisation.bmp;117475;8283039;1955838;921722;160168;243
640px-Huffman_coding_visualisation.bmp;121990;8394461;1957736;921722;160168;243
640px-Huffman_coding_visualisation.bmp;118387;8216771;1955552;921722;160168;243
640px-Huffman_coding_visualisation.bmp;127641;8409398;2089802;921722;160168;243
640px-Huffman_coding_visualisation.bmp;118158;10507828;1955772;921722;160168;243
640px-Huffman_coding_visualisation.bmp;137424;8953899;2136387;921722;160168;243
640px-Huffman_coding_visualisation.bmp;128030;8772931;2113814;921722;160168;243
800px-Huffman_coding_visualisation.bmp;159813;12103850;3464065;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;118325;15048205;3244106;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;92828;19535609;4937062;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;85135;12073398;3340532;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;98753;12382268;3279059;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;93033;14254850;3286095;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;85475;16484405;3664689;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;84840;13059210;3218496;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;142498;14441515;3337407;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;151040;12449388;3319662;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;151192;14728426;3716287;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;92875;14092633;3294617;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;85063;13377029;3220387;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;85030;12565588;3073794;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;85086;12653993;3442315;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;84991;12132115;3172643;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;97773;13379664;3159643;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;94046;14204179;3195532;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;84615;12051799;3074886;1440122;242806;254
800px-Huffman_coding_visualisation.bmp;87606;12173206;3165412;1440122;242806;254
